english,francais
qualified,qualifier
consolidating,consolider
Rural,rural
access,abord
elections,élection
congress,congrès
extents,mesure
showed,exposer
shortcomings,défaut
compensation,compensation
Life,existence
flying,vol
ships,bateau
bucket,bac
delay,attendre
steel,acier
methodological,méthodologique
were,être
Plimsoll,Plimsoll
absolute,absolu
multiplication,génération
quick,rapide
disappear,disparaître
reference,mentionner
allocations,affectation
purchase,achat
mentioning,appeler
cultures,civilisation
broader,ample
likely,probable
suspects,soupçon
major,majeur
appeared,avoir_l’air_de
drawn,tirer
electronic,électronique
recognise,reconnaître
submitted,compléter
Storms,orage
certificates,attestation
Rights,droit
city,métropole
growth,croissance
unavailable,indisponible
liberals,libéral
rainfall,pleuvoir
appropriate,adapter
moment,instant
represents,correspondre
provided,fournir
peak,crête
80,huitante
cartels,cartel
optimism,optimisme
peripheral,périphérique
fifths,cinquième
red,bureaucratie
phased,phase
vote,élire
retaining,retenir
Still,encore
27,vingt-sept
marketing,marchandisage
manager,administrateur
reactors,réacteur
literary,littéraire
practical,pratique
alliances,alliance
tree,arbre
local,local
block,bloc
medical,examen_médical
add,ADD
natural,naturel
hidden,cacher
deserves,mérite
exchanged,changer
pillar,pilier
being,être
desirable,désirable
soundly,son
worth,valeur
length,longueur
reply,conséquence
stipulating,condition
having,avoir
urbanisation,urbanisation
perfect,parfait
united,s’unir
present,présent
declaration,déclaration
excluding,englober
Morgan,Morgane
arena,aire
raising,ascenseur
offered,offrir
avalanche,avalanche
structured,structure
gave,donner
grand,chiliade
technology,ingénierie
missing,mademoiselle
unpublished,inédit
sport,sport
manages,gérer
compete,concourir
inappropriately,défectueusement
unlikely,improbable
operate,courir
reinforce,armer
dangers,danger
imposed,exécuter
suspect,soupçon
fight,bataille
ultimately,à_la_fin
actions,action
explored,chercher
gentlemen,collègue
Social,sociable
top,haut
posed,constituer
investigated,enquêter
debates,argument
relevant,pertinent
powerful,puissant
enabling,activer
contemplating,plancher
request,demande
therefore,ainsi
National,sujet
Cohesion,cohérence
Net,cyberespace
evaluation,évaluation
ground,sol
aggravates,empirer
toothless,édenté
Wales,Cambrie
text,texte
earmarked,adapter
promoting,améliorer
owns,avoir
chains,chaîne
Safety,sécurité
divided,diviser
absolutely,absolument
November,Nicolas
noted,apercevoir
tribute,tribut
storms,orage
fields,W._C._Fields
tan,bronzer
convince,abattre
Brussels,Bruxelles
Most,maintenant
features,caractéristique
recruit,embauche
met,atteindre
Nonetheless,cependant
tune,air
necessarily,absolument
No,non
future,avenir
favourable,favorable
scrutiny,contrôle
thrust,poussée
bases,base
endorsed,accoter
likewise,pareillement
blue,bleu
except,sauf
restricted,abréger
stolen,voler
regularly,assidûment
confirmation,confirmation
crisis,crise
sustainable,durable
communications,théorie_de_la_communication
By,auparavant
drafted,brouillon
tightened,attacher
bring,amener
information,info
legal,légal
differently,autrement
lives,existence
rate,cadence
experience,expérience
switch,interrupteur
idea,idée
metres,m
predominates,dominer
introduce,cadeau
ways,slip
completed,achever
harmonisation,harmonisation
survive,accommoder
scenario,scénario
aim,but
below,dessous
disjunction,disjonction
received,avoir
flooded,déluge
rail,garde-corps
Regions,partie
extraordinarily,exceptionnellement
consensus,consensus
none,aucun
argument,argument
resolved,décider
allocated,adjuger
exact,demander
missed,mademoiselle
tempted,tenter
allowed,laisser
preferably,assez
slightly,assez
Extradition,extradition
infringements,infraction
sanctions,approuver
finished,achever
bodies,corps
procedural,procédural
invited,inviter
mainly,essentiellement
factory,atelier
advocated,préconiser
respecting,apprécier
sincerely,sincèrement
Patten,geta
distortion,déformation
plans,plan
relatives,parent
lacking,manquer
Bordeaux,Bordeaux
Haven,abri
accident,accident
Too,abusivement
freighter,navire_marchand
transitive,transitivité
positively,favorablement
statements,déclaration
Then,alors
reviews,réévaluation
useful,utile
Gulf,golfe
sourced,source
achieves,aboutir
comments,commentaire
goals,but
avoided,éviter
iron,FE
generate,engendrer
terror,effroi
Guarantee,garantie
oblige,contraindre
project,entreprise
expenditure,dépense
Human,être_humain
taxation,impôt
fact,fait
Ladies,dame
regions,partie
Concerning,appartenir
shores,côte
quote,citer
feel,penser
reasoned,conclure
played,jouer
East,est
methods,méthode
saved,alléger
legitimising,légaliser
Consumer,consommateur
somebody,être_humain
unfortunate,infortuné
dreaded,craindre
constraints,contrainte
perplexed,abasourdir
while,bien_que
humanity,humanité
twice,deux
Chair,chaise
Permit,autorisation
restraint,restriction
radically,fondamentalement
modernised,développer
generated,engendrer
speaking,parler
Needless,aiguille
ambition,ambition
Due,cause
Colleagues,collègue
Internet,cyberespace
puts,mettre
Unfortunately,fâcheusement
fears,crainte
humility,humilité
dams,barrage
quantities,mesure
broke,casser
undertakes,assumer
schools,école
renovation,rénovation
replaced,remplacer
punishment,châtiment
tracts,parcelle
rejected,refuser
authorising,autoriser
rap,faute
Group,ensemble
consulted,consulter
preventive,préventif
functioning,fonctionnement
options,choix
touched,toucher
Belgium,Belgique
producers,constructeur
users,usager
questionnaire,enquête
promote,améliorer
field,champ
precedence,préséance
ally,allié
awarded,accorder
allows,laisser
Ninety,nonante
level,degré
Framework,cadre
burden,charge
owner,patron
punches,coup
tools,instrument
difference,différence
anticipate,anticiper
population,population
unthinkable,impensable
devastating,dévaster
programming,programmation
rest,équilibre
horror,aversion
shrugging,hausser_les_épaules
market,marché
delegating,délégation
land,terrain
seven,10
Pollution,pollution
prolongs,prolonger
stronger,fort
Canadian,canadien
inequitably,injustement
relevance,à-propos
harnessed,atteler
tell,Guillaume_Tell
strategies,projet
ninth,neuvième
permitting,autoriser
deaths,décès
standardisation,normalisation
indications,indication
temperature,température
closed,fermer
arising,apparaître
vehicles,véhicule
pays,gaine
Quakers,quaker
forcing,contraindre
depth,profondeur
envisage,contempler
rural,rural
unprecedented,inouï
awaiting,attendre
compromised,compromis
France,Brest
generations,génération
department,département
threaten,compromettre
examined,analyser
Did,aller
mergers,amalgamation
lawyer,avocat
ministers,curé
wished,souhaiter
warfare,guerre
show,démonstration
dialogue,dialogue
illustrate,causer
Delays,attendre
protection,protection
Minister,curé
Office,bureau
animal,animal
tension,pression
integration,déségrégation
consultations,audience
According,correspondre
bomb,bombardement
assess,cul
hindrance,dissuasif
reminded,rappeler
president,président
says,bouche
resisting,refuser
refusing,refuser
monetary,monétaire
recommends,préconiser
Holiness,sainteté
wondered,se_demander
aptitude,adresse
reflect,correspondre
US,Amérique
Mr,M.
conference,conférence
Though,même
fulfilment,concrétisation
justice,justice
powerless,faible
negligence,incurie
geography,géographie
clock,horloge
Goebbels,Goebbels
shopkeepers,commerçant
favoured,faveur
clarity,clarté
property,avoir
filed,déposer
regarding,considérer
stagnation,pot_au_noir
underground,résistance
feasibility,faisabilité
ban,défense
justifying,justifier
create,créer
acknowledgement,reconnaissance
Natural,naturel
fairly,assez
Compensation,compensation
Southwest,Éther_de_glycol
roofs,toit
ended,achever
shadow,ombre
society,société
contested,concours
exported,exportation
main,essentiel
Helsinki,Cathédrale_Ouspenski
criticisms,critique
uniting,amalgamation
applies,servir
models,cadre
Petroleum,pétrole
upholding,confirmer
liked,aimer
inspired,animer
differs,différer
industrial,industriel
telephones,téléphone
probity,probité
fell,cacher
Friday,piątek
impact,impact
fine,amende
absent,absent
card,carte
facilities,installation
sovereign,monarque
trail,empreinte
VOTE,élire
saying,dicton
legally,juridiquement
conversion,conversion
released,abandonner
Chinese,chinois
reached,aboutir
scope,ampleur
thesis,thèse
coordinating,administrer
reconsider,reconsidérer
hinders,empêcher
wallet,portefeuille
Councils,conseil
privileged,faveur
exaggerated,agrandir
accelerated,accélérer
Committee,comité
attaches,attaché
livelihoods,gagne-pain
Sadly,malheureusement
fatigue,abattement
convey,communiquer
taxes,impôt
applications,application
totalling,s'élever
positions,place
employ,chômage
Two,1
academics,académicien
jurists,juriste
arise,apparaître
answered,confronter
deadlines,date
disappeared,disparaître
Brazil,Altamira
know-how,savoir-faire
banned,caviarder
climatic,climatique
record,enregistrement
supports,aide
impose,exécuter
betokens,indiquer
example,exemple
Does,énergie
16,seize
earned,comprendre
varying,changer
tended,avoir_tendance_à
Depleted,arroser
ignore,bouder
give,donner
punishing,pénaliser
meteoric,météorologique
decade,décennie
marker,marqueur
believed,croire
Lithuania,Lituanie
fulfil,aboutir
Teutonic,germain
expressing,exprimer
excluded,englober
Tourism,tourisme
In,pouce
Dangerous,dangereux
fail,dédaigner
worry,ennui
inappropriate,inapproprié
alter,changer
finalising,achever
integrated,incorporer
say,bouche
less,Le
invitation,invitation
range,ampleur
figures,figue
relate,associer
encouraging,améliorer
activities,activité
amounts,montant
distribution,distribution
delegation,commission
formally,formellement
Control,commande
described,décrire
transfers,transport
find,découvert
deepest,profond
rigour,austérité
repealed,abolir
mountains,mont
Much,beaucoup
enter,entrer
interpreters,interprète
exclusive,exclusif
South,Sud
ratifying,infirmer
sustains,actualiser
educational,éducatif
possibility,éventualité
dates,date
periodic,périodique
proved,révéler
answers,conséquence
calls,appel
reiterate,redire
electricity,électricité
lightly,légèrement
security,sécurité
legislator,législateur
absence,absence
shoulders,épaule
Current,actuel
responsible,responsable
author,auteur
situations,situation
levy,impôt
instance,cas
payments,paiement
influential,influent
today,actuellement
anonymous,anonyme
realised,comprendre
hypothesis,hypothèse
kilos,k
transpired,transpirer
imports,importation
Amendments,amendement
inevitable,inéluctable
regarded,considérer
courses,classe
solved,cerner
ambitious,ambitieux
excellence,excellence
sufficient,bon
visible,visible
denominator,dénominateur
9,10
towns,cité
demands,demande
Castro,Castro
successfully,efficacement
covered,couvrir
media,medium
grave,charnier
fruits,fruit
guide,guide
behind,cul
no,non
coherence,cohérence
operational,opérationnel
dished,servir
retain,retenir
learning,acquisition
ensure,assurer
interests,intérêt
guaranteeing,assurer
badly,gravement
way,façon
interest,intérêt
Auditors,auditeur
None,aucun
pas,pas
Envoy,émissaire
hour,heure
increased,accroître
Do,faire
negotiation,dialogue
constituencies,circonscription
spirit,esprit
maximum,maximum
Wise,raisonnable
connection,connexion
article,article
balanced,équilibre
easy,facile
incorrect,incorrect
fun,plaisir
intensifying,augmenter
join,articulation
apparently,apparemment
ABC,-520
relates,associer
sail,voile
redressing,compenser
exchanging,changer
divert,détourner
subordinate,inférieur
enlarging,agrandir
traditional,traditionnel
route,chemin
control,commande
critical,critique
urging,aiguillonner
drove,troupeau
disadvantaged,défavoriser
sources,début
distances,distance
loss,perte
faster,jeûner
bound,bord
globalisation,globalisation
success,réussite
declared,déclarer
really,réellement
Agenda,calendrier
contributing,ajouter
harmonises,correspondre
slicks,glissant
Unlike,différent
pretensions,prétention
Allow,laisser
radiation,radiation
go,aller
expect,anticiper
tougher,difficile
labour,accouchement
gone,aller
undertaken,assumer
perimeter,frontière
rulers,dirigeant
sorts,forme
pertaining,appartenir
studies,étude
coastline,rive
minor,bambin
Uniformity,uniformisation
incapable,incapable
Robert,Robert
loose,délivrer
Monetary,monétaire
compelled,contraindre
going,départ
handling,gestion
exit,issue
destroys,détruire
emissions,émanation
NGOs,ONG
distort,déformer
travel,voyage
funds,fonds
doubts,doute
accommodation,accommodation
formal,bal
eighteen,dix-huit
dwellers,habitant
opportunities,chance
dilemma,dilemme
first,premier
guillemots,guillemot
intervention,intervention
partially,en_partie
faces,face
carried,porter
validity,austérité
confused,confondre
Adriatic,la_mer_Adriatique
attention,attention
equip,équiper
commission,comité
competence,adresse
theoretically,théoriquement
estimate,approximation
appealing,recourir
CO2,anhydride_carbonique
vehicle,véhicule
advertising,annonce
explicitly,explicitement
steelworks,aciérie
compilation,choix
invest,injecter
personally,personnellement
happy,heureux
treatment,traitement
holds,embrayage
improperly,abusivement
delighted,s'il_te_plaît
compromise,compromis
establish,établir
designed,concevoir
routes,chemin
Scotland,Écosse
accepts,accepter
industries,industrie
revision,révision
Budgets,budget
mete,frontière
adaptation,adaptation
tunnel,galerie
deriving,dérivation_lexicale
industrialists,industriel
military,armée
involving,affecter
fiscal,financier
distorts,déformer
member,membre
accord,accord
frontiers,frontière
misapprehension,erreur
identifies,identifier
one,10
implemented,appliquer
environmentalists,écologiste
fill,pourvu
evocation,évocation
capitalist,capitaliste
message,message
convincing,abattre
Issues,problème
environmental,environnemental
competition,concurrence
measure,étape
amount,montant
benefiting,bénéficier
verification,confirmation
annexes,aile
necessary,besoin
sets,ensemble
USA,Amérique
eliminating,de
sentiments,sentiment
disagreement,désaccord
heading,en-tête
scientific,scientifique
instruments,instrument
Section,partie
protects,assurer
prohibitions,défense
emphasis,accent
symptoms,symptôme
meet,face
outlines,contour
advance,avance
overcome,avoir_raison_de
been,être
speaker,haut-parleur
redistribution,redistribution
properly,adéquatement
appear,avoir_l’air_de
starting,commencer
reject,abattage
mandate,autorisation
Things,affaire
stuff,matériau
come,éjaculer
totally,bien
Wrongly,mal
vacuums,aspirateur
conceded,admettre
pacts,accommodement
drill,perceuse
steer,conduire
apologise,excuser
aborted,abandonner
must,devoir
trade,commerce
closures,fermeture
Buddhist,bouddhiste
8,10
deliver,cadeau
World,cosmos
periphery,périphérie
skirting,canard
path,chemin
health,bien-être
unsatisfactory,insatisfaisant
impression,avis
advice,avis
differences,différence
depleted,arroser
permit,autorisation
Food,aliment
upshot,cause
happens,arriver
outraged,choquer
far,FAR
predictable,prévisible
taking,prise
drastically,extrêmement
law,droit
worthy,devoir
yet,encore
interim,décalage
conveyed,communiquer
welcomed,bienvenu
force,force
improve,améliorer
instead,au_lieu_de
evolution,développement
Berlin,Berlin
26,vingt-six
substitute,remplaçant
companies,compagnie
100,100
impetus,impulsion
Even,soir
allocate,adjuger
Creating,créer
ripple,ondelette
consistency,cohérence
or,Beaverton
make,marque
Further,élever
criticises,critiquer
sink,évier
indicator,index
reach,portée
supposed,dire
Establishing,établir
discussions,débat
Workers,ouvrier
incentives,incitation
Tunnel,galerie
rapporteurs,rapporteur
power,force
pronouncements,déclaration
fast,jeûne
reassure,assurer
Works,fabrique
Applause,acclamer
removed,enlever
criteria,référence
SEC,s
scale,écaille
submit,compléter
defender,défenseur
originated,apparaître
abstained,abstenir
pronounced,articuler
opened,ouvrir
relation,rapport
Dropping,causer
pilloried,gibet
corruption,corruption
richer,riche
coast,côte
flavourings,aromate
prevents,empêcher
exercises,exercice
Relating,associer
minutes,compte_rendu
proof,preuve
convinced,abattre
hell,enfer
provision,condition
peace,paix
out,attention
contributions,action
though,même
letter,lettre
attentive,attentif
Subsidies,subside
Rotterdam,Rotterdam
bit,bit
monitor,moniteur
simpler,facile
diverted,détourner
grip,embrayage
inertia,inactivité
crosses,crosse
Personally,personnellement
systems,dispositif
18,dix-huit
allocation,affectation
expire,périmer
deals,commerce
wonder,admiration
assume,présumer
component,composant
excessively,abusivement
generation,génération
esteemed,apprécier
stopped,arrêter
grew,devenir
Flags,étendard
easily,facile
modified,adapter
Orders,ordre
exacerbates,empirer
moments,instant
Part,élément
Past,passé
complicated,compliquer
adopting,adopter
last,conclusion
reduction,abaissement
compiled,accumuler
Reunion,regroupement
continue,continuer
elected,choisir
fair,carnaval
advocate,avocat
firms,entreprise
before,antérieurement
elimination,élimination
ill,infirmité
explosions,détonation
disciplined,condition
overall,ensemble
stocks,giroflées
assistance,aide
ecosystem,écosystème
Committees,comité
caused,causer
input,intrant
tying,fixation
7,10
went,aller
Luxembourg,Grand-Duché_de_Luxembourg
age,âge
protectionism,protectionnisme
significance,importance
reliable,fiable
Fraud,escroquerie
draw,dessiner
overcoming,avoir_raison_de
Radical,groupe
visit,rendre_visite
centrally,centralement
participate,impliquer
imperative,impératif
Council,conseil
demonstrated,exposer
assessed,apprécier
devolution,décentralisation
cleaned,nettoyer
morning,avant-midi
consists,appartenir
siting,bâtir
moderate,modérateur
dispute,conflit
undefined,indéfini
judgements,arrêt
Force,force
survival,endurance
constructing,assembler
balances,équilibre
activity,activité
geopolitical,géopolitique
interfaces,interface
clarified,clarifier
3,10
thoroughly,exhaustivement
grant,subvention
Spencer,spencer
joint,articulation
collection,agrégation
yesterday,hier
demand,demande
Court,cour
decision,conclusion
Question,question
Effective,effectif
circumstances,chance
new,autre
passion,Passion
refused,refuser
seeks,chercher
changing,changer
sums,montant
charter,charte
Ends,bout
lasting,continuer
migration,migration
wholeheartedly,de_tout_cœur
Minutes,compte_rendu
rules,gouvernement
promising,assurer
largest,grand
root,racine
achieved,aboutir
sorry,mal
please,s'il_te_plaît
lag,ralentissement
underline,évidence
Certainly,absolument
modest,modeste
technologies,ingénierie
Britain,Britain
Lorraine,Lorraine
variety,assortiment
accessible,abordable
aborting,abandonner
develop,développer
more,More
teeth,dent
step,étape
legislature,corps_législatif
wage,gaine
derogations,amortissement
inspire,animer
uncertainties,aléa
abolish,abolir
winds,vent
granting,accorder
solid,solide
preferring,aimer_mieux
detail,détail
proceeding,procédure
regulating,réglementation
polluting,contaminer
side,côté
vacuum,aspirateur
especially,exceptionnellement
fifth,cinquième
proceed,arriver
reflected,correspondre
suffering,agonie
secular,laïc
house,maison
House,maison
preference,goût
constituency,circonscription
amend,amender
buildings,bâtiment
structurally,structurellement
advances,avance
remembered,penser
believes,conviction
chapter,chapitre
Royal,royal
bureaucratic,bureaucratique
take,commission
euro,euro
One,10
nations,contrée
birds,oiseau
rationing,rationnement
buy,accord
Margarine,margarine
normal,formule
proportions,proportion
continental,continental
barrier,barrière
decided,décider
stimulating,exciter
authority,autorité
entirely,bien
check,chèque
s,s
pieces,morceau
people,gens
size,calibre
spent,occuper
prison,prison
economy,activité_économique
comparison,comparaison
Reconciliation,rapprochement
deprive,priver
processes,procédure
drop,perle
State,état
paragraph,alinéa
States,état
aggregated,agrégat
Projects,entreprise
damage,dégât
worked,faire
grants,subvention
regimes,gouvernement
constantly,toujours
logically,logiquement
obligation,devoir
plays,drame
committees,comité
Austrian,Autrichien
morals,éthique
forget,oublier
publishes,carrer
impoverished,appauvrir
So,sol
maintain,maintenir
preventing,empêcher
exploitation,exploitation
members,membre
urges,impulsion
laws,Pentateuque
holding,avoir
potential,potentiel
he,HE
comprise,comporter
Portuguese,portugais
writing,composition
omission,omission
endorse,accoter
patchwork,mosaïque
capable,habile
misgivings,appréhension
lies,gésir
remain,demeurer
building,bâtiment
guidelines,directive
recent,Holocène
Efficiency,efficacité
Aid,aide
guidance,avis
While,bien_que
exchanges,échange
personality,caractère
special,extraordinaire
coastguards,garde-côte
south,Sud
part-time,à_temps_partiel
monopolies,monopole
enterprises,effort
propose,conseiller
week,semaine
Germany,Allemagne
perpetrated,commettre
digress,détourner
significant,considérable
glad,glaïeul
enforced,appliquer
encouragement,encouragement
Lloyds,Lloyd
Construction,bâtiment
successful,gagnant
occur,arriver
amendment,amendement
objectives,cible
talking,discours
sight,spectacle
Danish,danois
honour,honneur
remove,élimination
feels,penser
deep,profond
disputes,conflit
using,exploitation
Twenty,vingt
measures,étape
moral,enseignement
irresponsible,irresponsable
I,iode
mankind,homme
Balkan,balkanique
admiration,admiration
catalogue,catalogue
transposed,échanger
heard,entendre
2,1
essentially,basiquement
crime,crime
loud,bruyant
onus,charge
half,demi
orders,ordre
enforcement,exécution
shelves,étagère
chiefly,essentiellement
refocusing,recadrage
Peace,paix
concessions,concession
mainland,continent
surrounding,entourer
cleaning,lavage
enacting,représenter
region,partie
crushed,opprimer
trends,évolution
active,actif
conclusion,conclusion
road,chemin
reads,lecture
embargo,embargo
shellfish,coquillage
Islands,île
clarify,clarifier
user,usager
operates,courir
dear,amour
equation,équation
complying,accomplir
resources,ressource
influence,influence
Greek,grec
surveys,étude
safeguarding,assurer
swim,nager
sunk,descendre
Greens,légumes_verts
Power,force
making,genèse
value,valeur
prefer,aimer_mieux
rights,droit
meaning,importance
Jacob,François_Jacob
beginning,début
established,établir
spells,enchantement
observance,observation
motives,besoin
specialists,spécialiste
scientists,scientifique
extinguishers,extincteur
achieve,aboutir
correspond,correspondre
philosophy,doctrine
available,disponible
compatibility,compatibilité
periodical,journal
Adana,Adana
profitable,profitable
solving,solutionnage
react,réagir
happening,événement
ladies,dame
reliability,fiabilité
lack,absence
Public,monde
attempts,essai
referred,appeler
bottom,bas
political,politique
analysis,analyse
enlarged,agrandir
justification,défense
harmonised,correspondre
even,soir
result,cause
American,Américain
Scientists,scientifique
competent,compétent
working,professionnel
partners,conjoint
Never,jamais
preparation,préparation
eliminated,de
increasingly,de_plus_en_plus
Premier,François_Coli
concentration,concentration
Economic,économique
allayed,apaiser
retained,retenir
circulation,circulation
entrepreneurs,entrepreneur
hours,horloge
spreading,propagation
plants,fabrique
strengthened,fortifier
begun,commencer
focusing,focalisation
promotion,annonce
keeper,conservateur
company,compagnie
legislative,législatif
impeding,empêcher
General,général
airport,aérodrome
possibly,peut-être
slightest,minime
weakening,affaiblissement
inhabitant,habitant
ignorance,ignorance
thematic,thématique
Summit,cime
select,choisir
Also,aussi
trading,commerce
prepare,fixer
amended,amender
informal,informel
Tibet,Localisation
teams,équipe
authorities,gouvernement
prized,aimer
mass,masse
instruction,instruction
distinctions,différenciation
disparities,différence
depopulation,dépopulation
spheres,aire
waste,déchet
mind,cerveau
insufficient,insuffisant
hallmark,marque_commerciale
ownership,propriété
generally,généralement
forms,forme
parallel,analogique
damaged,détériorer
brainpower,cerveau
actually,effectivement
employee,employé
originally,originairement
knowledge,connaissance
obstacle,obstacle
constituents,composant
termed,appeler
Being,être
risks,danger
substantive,substantif
barriers,barrière
spewing,cracher
shame,honte
acknowledged,admettre
classic,classique
money,argent
issues,problème
boom,gronder
clause,clause
link,liaison
shipowner,Compagnie_maritime
proud,altier
Think,penser
generates,engendrer
Safeguarding,assurer
passenger,cavalier
Many,beaucoup
halted,arrestation
improving,améliorer
accumulation,accrétion
battled,bataille
quota,quota
involves,affecter
renewal,réhabilitation
fossil,barbon
effectiveness,efficacité
newly,dernièrement
published,carrer
satisfy,combler
Looking,être
follow-up,suivi
interpretation,interprétation
beauty,beauté
brought,amener
Regulation,disposition
unnecessary,inutile
green,vert
violence,force
competences,adresse
word,mot
testify,attester
fairer,juste
contamination,contamination
pact,accommodement
congratulating,compliment
consumption,consommation
argue,affirmer
stipulated,condition
lays,ballade
overture,ouverture
dollar,dollar
Today,actuellement
Irish,gaélique_irlandais
reactions,réaction
sails,voile
past,passé
eroding,érosion
read,lecture
diminished,abaisser
sentenced,condamner
vessel,vaisseau
over,relais
old,ancien
recommendation,recommandation
irregularities,anormalité
complex,complexe
tar,brai
unfair,injuste
COS,cosinus
problem,problème
quotation,citation
counted,compter
thoughts,idée
Total,agrégat
disturbance,perturbation
earthquake,séisme
modernising,développer
duties,devoir
revenue,recette
master,maestro
effort,essai
marketplace,marché
judges,Juges
adopts,adopter
Sixthly,sexto
efficiently,efficacement
repairing,réparer
retrieve,rattraper
decreased,abaisser
aimed,entraîner
proving,révéler
bird,oiseau
honoured,honneur
incidentally,à_propos
classes,catégorie
addition,addition
concentrate,concentration
enjoy,savourer
disturbances,perturbation
accurate,exact
abused,abus
beach,plage
frameworks,cadre
immoral,immoral
required,demander
sin,péché
calamity,calamité
operation,opération
sought,chercher
division,division
enable,activer
display,concours
surveillance,garde_à_vue
three,10
thinking,cérébration
destructive,destructeur
borders,frontière
strongly,fortement
delays,attendre
enhanced,accroître
contained,comprendre
salute,salutation
zero,néant
reported,apporter
Given,condition
proper,convenable
Well,puits
workers,ouvrier
fertile,fécond
inside,dedans
assert,affirmer
man,homme
stems,base
shipyard,chantier_naval
crude,pétrole
confine,limite
existing,être
urged,encourager
Generalised,généraliser
Rapid,rapide
scrap,bribe
cornerstone,base
simplification,réduction
disclosure,révélation
recommended,préconiser
understand,appréhender
produced,créer
identity,identité
discrimination,discrimination
news,actualité
inhabitants,habitant
Urban,urbain
undermine,contrecarrer
sessions,sessions
movement,mouvement
woodland,bois
Sates,remplir
leader,chef
sensitive,milieu
constructively,positivement
requirement,besoin
scandals,scandale
delivery,importation
yes,oui
nutrition,alimentation
Special,extraordinaire
liaise,allier
hugely,beaucoup
presentation,présentation
killed,tuer
Sea,mer
around,à_peu_près
right,droit
acquisitions,acquisition
debated,débat
current,actuel
hope,espoir
passionately,passionnément
considerable,considérable
data,data
offering,offre
applied,servir
greenhouse,serre
registers,greffe
bears,charge
Tobin,James_Tobin
transportation,transiter
evolved,développer
observe,analyser
investigation,enquête
administrator,administrateur
viewpoint,point_de_vue
machine,machine
May,Lili
reports,étude
undermining,contrecarrer
speak,exprimer
currency,devise
held,maintenir
transcends,dépasser
acquired,acquérir
leap,bond
failing,carence
memorandums,mémorandum
reasonable,raisonnable
aviation,aviation
element,composant
disseminate,diffuser
Christian,chrétien
job,emploi
hitherto,alors
afterwards,après
beneficiary,bénéficiaire
artificial,artificiel
regulate,moduler
monopoly,monopole
stable,écurie
evolving,développer
personnel,force
lawful,légal
court,cour
worded,articuler
Article,article
agricultural,agricole
forum,forum
ready,prêt
enactment,passage
negotiate,négocier
voiced,émettre
suffice,faire
Ombudsman,défenseur_du_citoyen
tells,Guillaume_Tell
dramatised,adopter
centralising,concentrer
vets,vétérinaire
precise,exact
stability,stabilité
principles,principe
highly,admirablement
completes,achever
fishing,pêche
here,ici
died,casser_sa_pipe
respect,aspect
focused,centrer
politics,politique
within,dedans
